,站點,城市,aqi,狀態,pm25
679,基隆,基隆市,14,良好,2.6
680,屏東(枋山),屏東縣,15,良好,
681,大甲（日南國小）,臺中市,12,良好,1.9
682,新北(樹林),新北市,39,良好,11.9
683,屏東（琉球）,屏東縣,24,良好,7.5
684,臺南（麻豆）,臺南市,26,良好,8.1
685,高雄（湖內）,高雄市,28,良好,8.5
686,彰化（員林）,彰化縣,22,良好,6.7
687,大城,彰化縣,29,良好,2.1
688,富貴角,新北市,17,良好,5.2
689,麥寮,雲林縣,21,良好,4.0
690,關山,臺東縣,15,良好,3.4
691,馬公,澎湖縣,31,良好,5.8
692,金門,金門縣,27,良好,3.9
693,馬祖,連江縣,36,良好,6.5
694,埔里,南投縣,31,良好,9.7
695,復興,高雄市,24,良好,7.3
696,永和,新北市,39,良好,11.9
697,竹山,南投縣,26,良好,8.0
698,中壢,桃園市,36,良好,11.2
699,三重,新北市,33,良好,10.3
700,冬山,宜蘭縣,19,良好,5.5
701,宜蘭,宜蘭縣,13,良好,1.6
702,陽明,臺北市,12,良好,2.5
703,花蓮,花蓮縣,12,良好,3.7
704,臺東,臺東縣,7,良好,0.6
705,恆春,屏東縣,10,良好,3.0
706,潮州,屏東縣,33,良好,10.3
707,屏東,屏東縣,27,良好,8.1
708,小港,高雄市,45,良好,8.8
709,前鎮,高雄市,25,良好,7.8
710,前金,高雄市,33,良好,10.3
711,左營,高雄市,41,良好,12.7
712,楠梓,高雄市,26,良好,6.9
713,林園,高雄市,27,良好,7.6
714,大寮,高雄市,30,良好,9.2
715,鳳山,高雄市,24,良好,3.1
716,仁武,高雄市,31,良好,9.4
717,橋頭,高雄市,34,良好,10.6
718,美濃,高雄市,27,良好,8.2
719,臺南,臺南市,31,良好,9.6
720,安南,臺南市,36,良好,11.0
721,善化,臺南市,41,良好,12.5
722,新營,臺南市,25,良好,7.8
723,嘉義,嘉義市,27,良好,8.2
724,臺西,雲林縣,21,良好,6.5
725,朴子,嘉義縣,23,良好,7.2
726,新港,嘉義縣,40,良好,12.3
727,崙背,雲林縣,34,良好,10.4
728,斗六,雲林縣,27,良好,8.3
729,南投,南投縣,19,良好,6.0
730,二林,彰化縣,31,良好,9.7
731,線西,彰化縣,17,良好,1.8
732,彰化,彰化縣,18,良好,2.0
733,西屯,臺中市,20,良好,5.3
734,忠明,臺中市,14,良好,4.4
735,大里,臺中市,12,良好,3.3
736,沙鹿,臺中市,19,良好,5.7
737,豐原,臺中市,15,良好,3.5
738,三義,苗栗縣,13,良好,4.0
739,苗栗,苗栗縣,14,良好,4.2
740,頭份,苗栗縣,26,良好,8.0
741,新竹,新竹市,27,良好,8.4
742,竹東,新竹縣,21,良好,6.4
743,湖口,新竹縣,33,良好,9.9
744,龍潭,桃園市,30,良好,9.2
745,平鎮,桃園市,28,良好,8.7
746,觀音,桃園市,32,良好,9.7
747,大園,桃園市,43,良好,6.0
748,桃園,桃園市,42,良好,12.9
749,大同,臺北市,49,良好,15.0
750,松山,臺北市,22,良好,6.7
751,古亭,臺北市,29,良好,8.8
752,萬華,臺北市,24,良好,7.5
753,中山,臺北市,34,良好,10.5
754,士林,臺北市,32,良好,10.0
755,淡水,新北市,21,良好,6.5
756,林口,新北市,28,良好,8.7
757,菜寮,新北市,31,良好,9.5
758,新莊,新北市,41,良好,12.7
759,板橋,新北市,37,良好,11.4
760,土城,新北市,38,良好,11.7
761,新店,新北市,39,良好,12.1
762,萬里,新北市,18,良好,5.4
763,汐止,新北市,26,良好,8.1
764,基隆,基隆市,13,良好,2.0
765,屏東(枋山),屏東縣,16,良好,
766,大甲（日南國小）,臺中市,13,良好,2.3
767,新北(樹林),新北市,40,良好,12.2
768,屏東（琉球）,屏東縣,27,良好,8.3
769,臺南（麻豆）,臺南市,27,良好,8.3
770,高雄（湖內）,高雄市,24,良好,7.5
771,彰化（員林）,彰化縣,24,良好,7.5
772,大城,彰化縣,29,良好,2.7
773,富貴角,新北市,19,良好,5.9
774,麥寮,雲林縣,23,良好,4.1
775,關山,臺東縣,15,良好,3.9
776,馬公,澎湖縣,32,良好,6.5
777,金門,金門縣,22,良好,4.2
778,馬祖,連江縣,38,良好,6.4
779,埔里,南投縣,29,良好,8.8
780,復興,高雄市,21,良好,6.3
781,永和,新北市,41,良好,12.7
782,竹山,南投縣,26,良好,8.0
783,中壢,桃園市,35,良好,10.7
784,三重,新北市,36,良好,11.0
785,冬山,宜蘭縣,19,良好,5.5
786,宜蘭,宜蘭縣,14,良好,1.3
787,陽明,臺北市,14,良好,3.0
788,花蓮,花蓮縣,14,良好,4.3
789,臺東,臺東縣,7,良好,0.7
790,恆春,屏東縣,11,良好,2.8
791,潮州,屏東縣,36,良好,11.1
792,屏東,屏東縣,28,良好,7.6
793,小港,高雄市,47,良好,8.4
794,前鎮,高雄市,28,良好,8.5
795,前金,高雄市,32,良好,9.8
796,左營,高雄市,39,良好,12.1
797,楠梓,高雄市,25,良好,6.3
798,林園,高雄市,28,良好,8.1
799,大寮,高雄市,30,良好,9.1
800,鳳山,高雄市,23,良好,3.6
801,仁武,高雄市,30,良好,9.1
802,橋頭,高雄市,34,良好,10.4
803,美濃,高雄市,25,良好,7.7
804,臺南,臺南市,29,良好,8.8
805,安南,臺南市,35,良好,10.7
806,善化,臺南市,38,良好,11.7
807,新營,臺南市,27,良好,8.2
808,嘉義,嘉義市,26,良好,8.1
809,臺西,雲林縣,21,良好,6.6
810,朴子,嘉義縣,23,良好,7.2
811,新港,嘉義縣,42,良好,13.0
812,崙背,雲林縣,35,良好,10.8
813,斗六,雲林縣,28,良好,8.5
814,南投,南投縣,18,良好,5.2
815,二林,彰化縣,31,良好,9.5
816,線西,彰化縣,18,良好,1.5
817,彰化,彰化縣,14,良好,2.5
818,西屯,臺中市,20,良好,5.1
819,忠明,臺中市,13,良好,4.0
820,大里,臺中市,13,良好,3.4
821,沙鹿,臺中市,17,良好,4.8
822,豐原,臺中市,16,良好,3.6
823,三義,苗栗縣,14,良好,4.3
824,苗栗,苗栗縣,14,良好,4.2
825,頭份,苗栗縣,28,良好,8.7
826,新竹,新竹市,29,良好,8.9
827,竹東,新竹縣,23,良好,7.2
828,湖口,新竹縣,31,良好,9.7
829,龍潭,桃園市,33,良好,10.3
830,平鎮,桃園市,29,良好,8.8
831,觀音,桃園市,32,良好,8.4
832,大園,桃園市,35,良好,4.9
833,桃園,桃園市,38,良好,11.7
834,大同,臺北市,53,普通,16.2
835,松山,臺北市,21,良好,6.5
836,古亭,臺北市,32,良好,9.8
837,萬華,臺北市,23,良好,7.2
838,中山,臺北市,36,良好,11.1
839,士林,臺北市,34,良好,10.6
840,淡水,新北市,23,良好,7.1
841,林口,新北市,32,良好,8.4
842,菜寮,新北市,31,良好,9.7
843,新莊,新北市,41,良好,12.5
844,板橋,新北市,38,良好,11.8
845,土城,新北市,37,良好,11.5
846,新店,新北市,41,良好,12.7
847,萬里,新北市,20,良好,6.1
848,汐止,新北市,26,良好,8.1
849,基隆,基隆市,13,良好,2.0
850,屏東(枋山),屏東縣,16,良好,
851,大甲（日南國小）,臺中市,15,良好,2.4
852,新北(樹林),新北市,41,良好,12.7
853,屏東（琉球）,屏東縣,28,良好,8.7
854,臺南（麻豆）,臺南市,28,良好,8.5
855,高雄（湖內）,高雄市,25,良好,7.6
856,彰化（員林）,彰化縣,24,良好,7.5
857,大城,彰化縣,29,良好,2.6
858,富貴角,新北市,23,良好,7.1
859,麥寮,雲林縣,24,良好,4.7
860,關山,臺東縣,15,良好,4.6
861,馬公,澎湖縣,14,良好,4.2
862,金門,金門縣,25,良好,4.0
863,馬祖,連江縣,39,良好,7.7
864,埔里,南投縣,27,良好,8.2
865,復興,高雄市,19,良好,6.0
866,永和,新北市,44,良好,13.4
867,竹山,南投縣,26,良好,8.0
868,中壢,桃園市,34,良好,10.6
869,三重,新北市,42,良好,12.8
870,冬山,宜蘭縣,20,良好,6.3
871,宜蘭,宜蘭縣,14,良好,1.5
872,陽明,臺北市,15,良好,3.6
873,花蓮,花蓮縣,15,良好,4.7
874,臺東,臺東縣,9,良好,0.5
875,恆春,屏東縣,11,良好,3.4
876,潮州,屏東縣,38,良好,11.8
877,屏東,屏東縣,30,良好,7.5
878,小港,高雄市,25,良好,7.7
879,前鎮,高雄市,27,良好,8.4
880,前金,高雄市,31,良好,9.5
881,左營,高雄市,42,良好,12.8
882,楠梓,高雄市,25,良好,6.3
883,林園,高雄市,27,良好,8.3
884,大寮,高雄市,31,良好,9.6
885,鳳山,高雄市,24,良好,4.0
886,仁武,高雄市,32,良好,9.8
887,橋頭,高雄市,33,良好,10.1
888,美濃,高雄市,26,良好,7.9
889,臺南,臺南市,28,良好,8.7
890,安南,臺南市,32,良好,9.8
891,善化,臺南市,33,良好,10.3
892,新營,臺南市,27,良好,8.3
893,嘉義,嘉義市,25,良好,7.7
894,臺西,雲林縣,21,良好,5.5
895,朴子,嘉義縣,23,良好,7.2
896,新港,嘉義縣,40,良好,12.3
897,崙背,雲林縣,33,良好,10.2
898,斗六,雲林縣,27,良好,8.4
899,南投,南投縣,19,良好,5.3
900,二林,彰化縣,30,良好,9.2
901,線西,彰化縣,19,良好,1.5
902,彰化,彰化縣,15,良好,3.0
903,西屯,臺中市,17,良好,5.2
904,忠明,臺中市,17,良好,3.0
905,大里,臺中市,14,良好,3.2
906,沙鹿,臺中市,15,良好,3.8
907,豐原,臺中市,17,良好,3.8
908,三義,苗栗縣,14,良好,4.4
909,苗栗,苗栗縣,12,良好,3.8
910,頭份,苗栗縣,28,良好,8.7
911,新竹,新竹市,27,良好,7.0
912,竹東,新竹縣,24,良好,7.5
913,湖口,新竹縣,31,良好,9.7
914,龍潭,桃園市,34,良好,10.5
915,平鎮,桃園市,27,良好,8.3
916,觀音,桃園市,27,良好,6.9
917,大園,桃園市,38,良好,3.3
918,桃園,桃園市,31,良好,9.6
919,大同,臺北市,57,普通,18.0
920,松山,臺北市,23,良好,7.0
921,古亭,臺北市,36,良好,11.1
922,萬華,臺北市,28,良好,8.6
923,中山,臺北市,39,良好,12.1
924,士林,臺北市,32,良好,9.9
925,淡水,新北市,22,良好,6.8
926,林口,新北市,43,良好,7.3
927,菜寮,新北市,36,良好,11.0
928,新莊,新北市,42,良好,13.0
929,板橋,新北市,37,良好,11.5
930,土城,新北市,38,良好,11.8
931,新店,新北市,42,良好,12.8
932,萬里,新北市,22,良好,6.7
933,汐止,新北市,25,良好,7.7
934,基隆,基隆市,13,良好,2.7
935,屏東(枋山),屏東縣,16,良好,
936,大甲（日南國小）,臺中市,13,良好,2.3
937,新北(樹林),新北市,42,良好,12.9
938,屏東（琉球）,屏東縣,30,良好,9.1
939,臺南（麻豆）,臺南市,25,良好,7.8
940,高雄（湖內）,高雄市,24,良好,7.1
941,彰化（員林）,彰化縣,24,良好,7.3
942,大城,彰化縣,29,良好,2.7
943,富貴角,新北市,24,良好,7.4
944,麥寮,雲林縣,25,良好,4.5
945,關山,臺東縣,15,良好,4.7
946,馬公,澎湖縣,14,良好,4.2
947,金門,金門縣,22,良好,3.8
948,馬祖,連江縣,40,良好,8.0
949,埔里,南投縣,26,良好,8.0
950,復興,高雄市,18,良好,5.6
951,永和,新北市,45,良好,14.0
952,竹山,南投縣,26,良好,8.0
953,中壢,桃園市,35,良好,10.0
954,三重,新北市,46,良好,14.3
955,冬山,宜蘭縣,21,良好,6.5
956,宜蘭,宜蘭縣,14,良好,1.8
957,陽明,臺北市,16,良好,4.0
958,花蓮,花蓮縣,15,良好,4.5
959,臺東,臺東縣,10,良好,0.4
960,恆春,屏東縣,13,良好,4.0
961,潮州,屏東縣,39,良好,12.0
962,屏東,屏東縣,33,良好,7.6
963,小港,高雄市,26,良好,8.1
964,前鎮,高雄市,26,良好,7.9
965,前金,高雄市,30,良好,9.3
966,左營,高雄市,39,良好,12.1
967,楠梓,高雄市,26,良好,6.8
968,林園,高雄市,29,良好,9.0
969,大寮,高雄市,33,良好,10.2
970,鳳山,高雄市,24,良好,4.5
971,仁武,高雄市,35,良好,10.8
972,橋頭,高雄市,33,良好,10.3
973,美濃,高雄市,31,良好,7.0
974,臺南,臺南市,29,良好,8.2
975,安南,臺南市,31,良好,9.5
976,善化,臺南市,31,良好,9.7
977,新營,臺南市,28,良好,7.0
978,嘉義,嘉義市,24,良好,7.3
979,臺西,雲林縣,21,良好,5.8
980,朴子,嘉義縣,22,良好,6.7
981,新港,嘉義縣,39,良好,12.0
982,崙背,雲林縣,35,良好,10.8
983,斗六,雲林縣,26,良好,8.1
984,南投,南投縣,22,良好,5.2
985,二林,彰化縣,31,良好,9.7
986,線西,彰化縣,20,良好,1.1
987,彰化,彰化縣,15,良好,3.2
988,西屯,臺中市,17,良好,5.1
989,忠明,臺中市,12,良好,2.1
990,大里,臺中市,15,良好,3.0
991,沙鹿,臺中市,16,良好,3.6
992,豐原,臺中市,18,良好,3.4
993,三義,苗栗縣,13,良好,4.0
994,苗栗,苗栗縣,18,良好,3.0
995,頭份,苗栗縣,29,良好,9.0
996,新竹,新竹市,27,良好,6.4
997,竹東,新竹縣,28,良好,7.7
998,湖口,新竹縣,33,良好,10.3
999,龍潭,桃園市,36,良好,11.2
